trait_a,trait_b,scheme,alpha,cos,regime,coh_steered,delta_a_single,delta_b_single,delta_a_joint,delta_b_joint,pair,pair_key,cos_abs,mean_joint_abs,mean_single_abs,min_single_abs,max_single_abs,mechanical_push,sem_sim
apathetic,formality,normTrue,4.5,0.015,mixed,89.0,30.64,6.18,44.98,3.0,"('apathetic', 'formality')",apathetic|formality,0.015,23.99,18.41,6.18,30.64,3.2057565409743765,0.2463475771338999
apathetic,hallucinating,normTrue,4.5,-0.1642,additive,69.54,38.16,47.25,28.98,43.24,"('apathetic', 'hallucinating')",apathetic|hallucinating,0.1642,36.11,42.705,38.16,47.25,2.9090333446009176,0.1981125750075286
apathetic,humorous,normTrue,4.5,0.1923,mixed,49.15,30.84,78.57,60.36,44.51,"('apathetic', 'humorous')",apathetic|humorous,0.1923,52.435,54.705,30.84,78.57,3.4744837746059485,0.23258875513495672
apathetic,impolite,normTrue,4.5,0.6948,mixed,55.92,35.12,72.44,55.51,51.16,"('apathetic', 'impolite')",apathetic|impolite,0.6948,53.334999999999994,53.78,35.12,72.44,4.14244493023142,0.46988053770033655
apathetic,sycophantic,normTrue,4.5,0.0503,mixed,65.5,42.21,79.85,35.79,24.42,"('apathetic', 'sycophantic')",apathetic|sycophantic,0.0503,30.105,61.03,42.21,79.85,3.261025528878914,0.3440802332491053
confidence,evil,normTrue,4.5,0.2294,mixed,63.91,25.28,53.33,9.52,30.13,"('confidence', 'evil')",confidence|evil,0.2294,19.825,39.305,25.28,53.33,3.5281262732504346,0.20918400458480185
confidence,formality,normTrue,4.5,0.2262,mixed,92.13,18.8,4.29,12.28,3.42,"('confidence', 'formality')",confidence|formality,0.2262,7.85,11.545,4.29,18.8,3.523531609053621,0.39834593338417235
confidence,hallucinating,normTrue,4.5,0.27,additive,81.24,23.73,37.53,21.42,38.87,"('confidence', 'hallucinating')",confidence|hallucinating,0.27,30.145,30.630000000000003,23.73,37.53,3.585909926364576,0.25190109092575663
confidence,humorous,normTrue,4.5,-0.0802,mixed,60.65,18.94,77.56,-9.97,47.61,"('confidence', 'humorous')",confidence|humorous,0.0802,28.79,48.25,18.94,77.56,3.051716729973475,0.24149966806756734
confidence,impolite,normTrue,4.5,0.1573,suppressive,67.26,19.9,72.9,-2.51,35.29,"('confidence', 'impolite')",confidence|impolite,0.1573,18.9,46.400000000000006,19.9,72.9,3.4231071411803633,0.2681074093085094
confidence,sycophantic,normTrue,4.5,0.3546,additive,84.42,33.24,80.47,33.88,72.78,"('confidence', 'sycophantic')",confidence|sycophantic,0.3546,53.33,56.855000000000004,33.24,80.47,3.7034207160407795,0.27408900642658407
evil,formality,normTrue,4.5,-0.1059,suppressive,77.09,64.39,4.06,6.47,-1.39,"('evil', 'formality')",evil|formality,0.1059,3.9299999999999997,34.225,4.06,64.39,3.0087808993012435,0.19566359338519035
evil,hallucinating,normTrue,4.5,0.2708,mixed,56.7,38.83,46.96,30.84,63.42,"('evil', 'hallucinating')",evil|hallucinating,0.2708,47.13,42.894999999999996,38.83,46.96,3.587039169008334,0.22850203527772783
evil,humorous,normTrue,4.5,0.3685,dominant,40.55,49.89,76.5,11.58,67.25,"('evil', 'humorous')",evil|humorous,0.3685,39.415,63.195,49.89,76.5,3.722373234913447,0.24353919024153767
evil,impolite,normTrue,4.5,0.3995,mixed,43.23,53.71,67.07,25.53,76.28,"('evil', 'impolite')",evil|impolite,0.3995,50.905,60.39,53.71,67.07,3.764297743271645,0.3971123285016625
evil,sycophantic,normTrue,4.5,0.4184,mixed,59.26,52.05,73.38,28.44,61.04,"('evil', 'sycophantic')",evil|sycophantic,0.4184,44.74,62.714999999999996,52.05,73.38,3.789630588856914,0.21833374402854008
formality,hallucinating,normTrue,4.5,0.1033,mixed,83.29,7.02,48.44,5.95,29.6,"('formality', 'hallucinating')",formality|hallucinating,0.1033,17.775000000000002,27.729999999999997,7.02,48.44,3.342291504342492,0.2226746986620209
formality,humorous,normTrue,4.5,-0.5225,suppressive,73.66,4.34,72.02,-3.98,0.43,"('formality', 'humorous')",formality|humorous,0.5225,2.205,38.18,4.34,72.02,2.1987922821403574,0.4142879153442708
formality,impolite,normTrue,4.5,-0.23,suppressive,81.38,6.39,73.71,2.87,11.24,"('formality', 'impolite')",formality|impolite,0.23,7.055,40.05,6.39,73.71,2.792176570347943,0.32398625951242505
formality,sycophantic,normTrue,4.5,-0.1252,mixed,84.61,4.55,70.87,2.66,37.15,"('formality', 'sycophantic')",formality|sycophantic,0.1252,19.905,37.71,4.55,70.87,2.9761300374815614,0.2730349653806381
hallucinating,humorous,normTrue,4.5,0.1311,mixed,48.93,42.31,62.54,55.14,66.13,"('hallucinating', 'humorous')",hallucinating|humorous,0.1311,60.635,52.425,42.31,62.54,3.384137630179955,0.18511236237736645
hallucinating,impolite,normTrue,4.5,-0.0508,additive,52.69,43.27,53.1,52.82,58.02,"('hallucinating', 'impolite')",hallucinating|impolite,0.0508,55.42,48.185,43.27,53.1,3.1001048369369704,0.1855642810970446
hallucinating,sycophantic,normTrue,4.5,0.247,additive,74.49,36.21,57.58,46.33,64.75,"('hallucinating', 'sycophantic')",hallucinating|sycophantic,0.247,55.54,46.894999999999996,36.21,57.58,3.553290728324942,0.31809495796511095
humorous,impolite,normTrue,4.5,0.4368,additive,42.96,80.38,62.28,65.59,72.96,"('humorous', 'impolite')",humorous|impolite,0.4368,69.275,71.33,62.28,80.38,3.8141316180750766,0.24185508361201008
humorous,sycophantic,normTrue,4.5,0.3787,additive,59.16,74.86,72.83,76.25,73.92,"('humorous', 'sycophantic')",humorous|sycophantic,0.3787,75.08500000000001,73.845,72.83,74.86,3.7362196803721273,0.2109666266769492
impolite,sycophantic,normTrue,4.5,0.2889,mixed,56.02,69.87,76.12,74.59,45.19,"('impolite', 'sycophantic')",impolite|sycophantic,0.2889,59.89,72.995,69.87,76.12,3.612493944631603,0.36965515588341324
apathetic,confidence,per_axis,4.5,0.0143,dominant,50.01,41.9,22.63,61.03,-16.05,"('apathetic', 'confidence')",apathetic|confidence,0.0143,38.54,32.265,22.63,41.9,4.5,0.2401042572847261
apathetic,evil,per_axis,4.5,0.2578,mixed,37.53,45.34,68.57,70.04,22.11,"('apathetic', 'evil')",apathetic|evil,0.2578,46.075,56.955,45.34,68.57,4.5,0.32147504484626166
apathetic,formality,per_axis,4.5,0.015,dominant,74.36,35.44,6.68,69.08,1.34,"('apathetic', 'formality')",apathetic|formality,0.015,35.21,21.06,6.68,35.44,4.5,0.2463475771338999
apathetic,humorous,per_axis,4.5,0.1923,mixed,32.51,28.36,75.36,74.6,49.84,"('apathetic', 'humorous')",apathetic|humorous,0.1923,62.22,51.86,28.36,75.36,4.5,0.23258875513495672
apathetic,impolite,per_axis,4.5,0.6948,mixed,48.75,35.08,73.2,62.99,60.12,"('apathetic', 'impolite')",apathetic|impolite,0.6948,61.555,54.14,35.08,73.2,4.5,0.46988053770033655
apathetic,sycophantic,per_axis,4.5,0.0503,mixed,39.18,41.4,77.99,66.81,33.72,"('apathetic', 'sycophantic')",apathetic|sycophantic,0.0503,50.265,59.69499999999999,41.4,77.99,4.5,0.3440802332491053
confidence,evil,per_axis,4.5,0.2294,dominant,42.8,22.69,48.5,-12.69,55.4,"('confidence', 'evil')",confidence|evil,0.2294,34.045,35.595,22.69,48.5,4.5,0.20918400458480185
confidence,formality,per_axis,4.5,0.2262,mixed,83.3,19.55,4.36,8.61,2.53,"('confidence', 'formality')",confidence|formality,0.2262,5.569999999999999,11.955,4.36,19.55,4.5,0.39834593338417235
confidence,hallucinating,per_axis,4.5,0.27,mixed,63.88,26.85,40.01,21.13,57.52,"('confidence', 'hallucinating')",confidence|hallucinating,0.27,39.325,33.43,26.85,40.01,4.5,0.25190109092575663
confidence,impolite,per_axis,4.5,0.1573,dominant,40.26,19.43,69.12,-23.95,64.21,"('confidence', 'impolite')",confidence|impolite,0.1573,44.08,44.275000000000006,19.43,69.12,4.5,0.2681074093085094
confidence,sycophantic,per_axis,4.5,0.3546,additive,73.47,33.28,77.94,37.0,83.61,"('confidence', 'sycophantic')",confidence|sycophantic,0.3546,60.305,55.61,33.28,77.94,4.5,0.27408900642658407
evil,formality,per_axis,4.5,-0.1059,suppressive,31.29,59.67,4.68,22.14,-27.39,"('evil', 'formality')",evil|formality,0.1059,24.765,32.175,4.68,59.67,4.5,0.19566359338519035
evil,hallucinating,per_axis,4.5,0.2708,emergent,37.44,35.36,43.89,48.83,75.86,"('evil', 'hallucinating')",evil|hallucinating,0.2708,62.345,39.625,35.36,43.89,4.5,0.22850203527772783
evil,impolite,per_axis,4.5,0.3995,additive,31.34,53.67,70.51,39.63,86.3,"('evil', 'impolite')",evil|impolite,0.3995,62.965,62.09,53.67,70.51,4.5,0.3971123285016625
evil,sycophantic,per_axis,4.5,0.4184,additive,43.1,59.17,81.32,48.97,62.3,"('evil', 'sycophantic')",evil|sycophantic,0.4184,55.635,70.245,59.17,81.32,4.5,0.21833374402854008
formality,hallucinating,per_axis,4.5,0.1033,dominant,58.74,5.49,42.8,1.34,52.96,"('formality', 'hallucinating')",formality|hallucinating,0.1033,27.150000000000002,24.145,5.49,42.8,4.5,0.2226746986620209
formality,impolite,per_axis,4.5,-0.23,suppressive,39.7,5.2,69.4,-9.37,25.41,"('formality', 'impolite')",formality|impolite,0.23,17.39,37.300000000000004,5.2,69.4,4.5,0.32398625951242505
formality,sycophantic,per_axis,4.5,-0.1252,dominant,37.14,3.99,71.63,-10.15,66.88,"('formality', 'sycophantic')",formality|sycophantic,0.1252,38.515,37.809999999999995,3.99,71.63,4.5,0.2730349653806381
hallucinating,sycophantic,per_axis,4.5,0.247,emergent,55.18,42.97,55.53,64.11,79.99,"('hallucinating', 'sycophantic')",hallucinating|sycophantic,0.247,72.05,49.25,42.97,55.53,4.5,0.31809495796511095
humorous,impolite,per_axis,4.5,0.4368,additive,32.07,79.09,64.72,68.17,78.38,"('humorous', 'impolite')",humorous|impolite,0.4368,73.275,71.905,64.72,79.09,4.5,0.24185508361201008
humorous,sycophantic,per_axis,4.5,0.3787,additive,41.66,75.21,65.38,76.26,76.41,"('humorous', 'sycophantic')",humorous|sycophantic,0.3787,76.33500000000001,70.29499999999999,65.38,75.21,4.5,0.2109666266769492
impolite,sycophantic,per_axis,4.5,0.2889,mixed,42.32,67.29,75.1,85.02,43.13,"('impolite', 'sycophantic')",impolite|sycophantic,0.2889,64.075,71.195,67.29,75.1,4.5,0.36965515588341324
